orf	expr.no.pheromone	expr.with.pheromone
YHR143W	64.75	17.06
YHR146W	24.25	23.77
YKL018W	13.09	12.8
YGR198W	67	42.64
YMR271C	0.45	1.9
YMR293C	2.73	6.14
YEL055c	121.55	118.64
YDR529C	4.83	10.27
YML052W	133.06	131
YDR532C	0.39	0.88
YNL073W	26.52	30.98
YNL085W	97.33	146.05
YGR270W	9.95	10.94
YGR232W	5.71	5.52
YAL059W	14.41	15.67
YGR005C	8.37	7.31
YJL015C	5.92	4.03
YFL049W	43.32	25.36
YLR264W	68.25	10.18
YLR377C	0.47	1.73
YLR089c	81.75	62.16
YMR323W	20.31	1.52
YBR082c	34.73	43.76
YDL222c	5.91	4.96
YBR272c	16.55	15.67
YDL109c	9.06	6.74
YDL102W	14.06	6.45
YBR275c	17.53	5.28
YGR228W	18.17	36.42
YER107c	26.09	23.72
YER123w	70.83	53.5
YHR020W	710.26	334.46
YLR284C	6.57	6.45
YML116W	62.79	22.88
YMR310C	19.47	22.4
YBR146w	20.83	33.29
YDL155W	30.7	20.78
YDL247w	10.99	9.46
YDL154W	0.75	2.94
YCR089w	34.19	18.04
YHL033c	1147.04	963.47
YBL059w	2.22	2.73
YGR109C	4.6	0.61
YJR023C	2.05	3.86
YGL252C	33.77	19.25
YLR311C	0.39	1.89
YML125C	43.69	42.87
YLR248W	70.31	53.35
YNL283C	80.26	124.83
YDL192W	246.94	257.28
YDL119c	9.12	10.78
YDL054c	27.44	16.23
YDR137W	10.99	12.49
YDR040C	67.27	15.1
YDR421W	9.3	7.26
YGR265W	159.17	182.76
YCR069w	22.24	24.15
YGL138C	0.75	0.88
YFR051C	154.54	164.24
YJR072C	24.39	31.66
YHR056C	4.62	4.24
YLR351C	18.18	31.57
YMR004W	7.52	12.93
YNL322C	96.09	108.74
YDL012c	4.53	6.48
YDL127w	5.98	131.92
YDL084w	756.13	632.75
YDL013W	8.84	9.06
YDR081C	6.86	5.77
YDR180W	258.39	237.93
YHR043c	15.26	12.41
YBR242w	15.43	14.53
YGR185C	166.83	248.4
YJR067C	2.2	2.41
YGL142C	31.16	10.14
YLR364W	0.51	1.83
YML019W	56.99	29.06
YLR368W	10	8.44
YNL239W	86.21	96.71
YDL053c	42.13	54.4
YDR054c	57.93	74.95
YDR181C	6.53	15.21
YDR320C	18.35	19.46
YDR379W	0.44	3.02
YGR217W	18.93	11
YGR293C	2.67	0.88
YGR015C	5.71	3.58
YGR041W	42.12	13.71
YJR122W	11.77	11.49
YHR096c	33	4.64
YLR435W	10.81	11.88
YMR036C	8.49	7.66
YNL288W	78.9	51.14
YDR193W	3.07	4.13
YDR098C	32.37	57.8
YDR005C	31.63	15.89
YDR200C	19.06	19.32
YDR303C	50.56	28.03
YIR006C	16.84	6.33
YHR138C	2.71	2.33
YEL057c	6.23	4
YHL048W	165.38	70.73
YJR128W	2.93	2.59
YGL064C	4.63	4.86
YLR415C	0.41	1.91
YMR096W	11.65	6.03
YML057W	61.58	66.6
YNL188W	86.46	64.43
YDR155C	755.4	673.81
YDR175C	9.29	10.78
YDR312W	25.32	27.4
YDR419W	7.33	5.62
YJL050W	68.87	36.13
YJR066W	96.95	36.53
YHL015w	54.79	63.67
YCR097W-A	0.76	1.3
YGR086C	269.85	240.95
YGR197C	26.87	9.83
YKL103C	46.69	28.49
YHR149C	35.55	11.22
YMR025W	2.49	3.6
YMR140W	27.89	19.2
YNL217W	21.88	12.88
YDR424C	0.85	1.93
YDR284C	60.77	33.39
YDR263C	6.33	4.63
YDR506C	3.77	3.48
YJL154C	91.44	71.39
YFL033C	23.63	7.96
YHR153c	1.52	0.57
YER063w	14.23	14.2
YHR063C	33.06	23.69
YKL076C	4.95	5.17
YGR088W	3.04	2.83
YML101C	0.51	2.24
YMR206W	0.56	0.78
YMR168C	3.6	3.99
YNL138W	112.81	129.77
YDR260C	6.99	7.05
YDR368W	38.09	46.74
YDR473C	4.78	3.09
YDR508C	466.68	232.12
YKL092C	7.36	4.55
YLR430W	0.56	2.35
YHR060w	1.24	0.92
YEL074w	25.56	10.72
YGR257C	15.46	7.37
YHR009C	93.84	82.68
YKL059C	7.82	6.87
YHR184W	0.4	0.61
YMR149W	14.59	18.65
YMR221C	88.31	56.36
YNL164C	3.65	4.18
YDR511W	0.69	1.06
YDR429C	74.81	114.8
YDR394W	58.09	84.37
YNL227C	4.37	6.93
YLR138w	30.5	17.88
YHL035C	27.04	20.22
YHR189W	9.17	6.93
YER148w	62.15	73.83
YHR129c	7.19	4.2
YKL036C	29.54	11.72
YGR194C	5.25	4.65
YMR122C	0.81	2.58
YMR299C	2.98	3.13
YMR296C	314.65	197.51
YNL092W	0.83	1.33
YDR418W	1745.95	1240.84
YGR231C	37.55	39.78
YOL069W	28.53	13.79
YNL197C	127	96.35
YLR039c	12.3	9.4
YOL103W	165.51	81.63
YDR236C	6.7	6.18
YEL045c	30.28	3.47
YHR069C	15.64	13.62
YHR137W	109.16	40.7
YKL021C	36.24	40.27
YHR206w	84.98	62.31
YMR226C	32.72	23.83
YOR304c-a	0.48	3.51
YNL080C	49.87	40.26
YOL165C	23.78	18.85
YNR068C	4.64	2.54
YGR159C	1108.12	996.27
YNL065W	26.83	15.16
YMR185W	17.49	22.82
YJL039C	16.44	15.63
YGR016W	0.53	1.38
YER136w	161.38	132.79
YER182w	0.62	2.61
YGL219C	7.72	10.05
YJL001W	45.01	42.9
YER077c	5.23	5.41
YLR349W	7.51	6.27
YMR311C	2.81	5.09
YBL070c	7.57	6.97
YBR072w	2.25	2.24
YDL244w	2.58	1.01
YDL238c	13.35	7.16
YDL214c	18.08	4.64
YBR023c	153.48	94.73
YFL005W	202.35	34.66
YBR064w	5.32	5.79
YFR047C	14.86	12.99
YFR053C	161.4	14.08
YJR093C	7.25	10.69
YER169w	17.86	12.96
YLR358C	7.5	8.13
YIL144W	3.59	4.14
YAR019C	32.19	18.87
YDL202w	29.99	22.4
YDL237w	56.22	46.61
YDL180w	49.05	29.25
YDL095W	471.95	158.86
YBR097w	101.85	4.61
YGR037C	18.75	29.55
YER161c	7.7	7.66
YGL085W	5.82	5.24
YGL134W	4.93	5.43
YJR055W	1.67	4.2
YFL013C	4.62	6.05
YLR421C	7.07	7.45
YJL127C	40.53	19.93
YNL314W	1.88	1.97
YDL187c	1.16	1.21
YDL130W	651.72	491.48
YDL107W	4.18	1.91
YDL156w	15.39	5.75
YDL116W	56.33	35.12
YDL145C	329.24	164.47
YFR033C	139.45	156.86
YBR124w	3.68	4.47
YGL115W	32.32	31.21
YGL111W	31.69	34.65
YJR111C	5.13	6.67
YFL003C	2	1.24
YML079W	6.5	6.89
YJL090C	37.66	20.11
YBL037w	47.4	42.04
YDL118w	0.97	3.87
YDL059C	3.67	1.3
YDL104C	7.71	4.41
YDR110W	25.26	13.84
YDR160W	42.6	9.55
YDR097C	118.89	11.17
YGR063C	7.91	8.54
YFL066C	970.65	397.36
YGR053C	0.61	0.96
YGR149W	21.41	22.95
YJR102C	1.57	3.39
YGL236C	11.32	8.86
YML055W	4.33	4.27
YJL019W	46.22	17.88
YNL232W	11.93	15.35
YDL061C	139.22	68.99
YDR007W	5.16	4.34
YDR044W	54.69	40.7
YDR009W	3.41	1.07
YDR146C	27.77	22.51
YIR033W	73.79	26.17
YFR057W	26.92	25.08
YBR178w	28.16	10.33
YGR060W	170.52	30.25
YGR002C	9.05	10.38
YJR147W	74.78	46.9
YGL216W	30.1	20.48
YMR072W	9.16	9.74
YJR040W	69.95	42.56
YBR095c	8.19	7.42
YDR015c	0.52	0.58
YDR152W	9.14	12.5
YDR088C	5.14	3.06
YDR342C	891.94	107.27
YDR369C	15.64	3.64
YDR326C	72.91	9.35
YGR085C	374.62	425.58
YFL037W	496.9	338.68
YGR220C	11.82	10.6
YGR254W	6450.97	3150.58
YJR135C	0.51	1.06
YGL107C	24.09	21.66
YMR040W	0.41	1.04
YKL217W	1.31	1.78
YNL203C	5.51	4.57
YDR029w	7.54	6.87
YDR067c	4.41	2.89
YDR173C	5.14	2.95
YDR145W	169.88	122.38
YDR314C	10.58	3.17
YGL140C	75.11	23.48
YGL239C	19.35	9.54
YBR230c	11.41	6.74
YGR277C	6.33	7.32
YGR175C	917.65	458.67
YKL098W	6.7	6.35
YGL049C	17.16	9.94
YMR138W	0.72	1.82
YKL187C	8.9	5.42
YCR053w	362.24	156.57
YDR199W	1.07	2.18
YDR318W	5.07	4.39
YDR259C	5.15	4.91
YDR481C	236.17	61.76
YMR102C	46.91	11.4
YMR166C	57.82	13.81
YGR133W	1.81	2.65
YFR004W	32.61	35.8
YHL001w	488.87	515.35
YHR011W	1.31	1.35
YKL065C	13.17	16.86
YGL022W	292.48	117.13
YMR158W	0.71	2.22
YKL125W	45.79	34.56
YNL162W	410.63	504.78
YDR203W	1.43	1.74
YDR231C	8.31	5.19
YDR297W	98.7	39.43
YDR299W	12.87	15.2
YNL272C	28.5	23.12
YHR155W	67.44	28.39
YGL217C	1.24	1.68
YBR268w	2.02	4.36
YHR058C	5.39	5.9
YHR005c	39.55	151.81
YKL052C	6.25	5.15
YGR071C	16.05	9.7
YMR222C	4.65	5.8
YKL072W	10.19	7.57
YIL109C	474.58	373.82
YDR378C	6.73	7.26
YDR447C	1015.45	914.92
YDR423C	14.5	9.26
YNL249C	21.3	10.68
YNL221C	50.52	33.33
YGL133W	67.54	14.08
YGR174C	3.94	3.94
YFR031C-A	3030.84	2249.21
YHR163w	38.7	30.29
YHR169W	31.89	21.36
YKL016C	11.15	16.7
YGR178C	83.41	56.17
YMR298W	4.28	5.72
YKR019C	1.96	3.37
YNL110C	8.16	10.42
YDR327W	11.93	8.74
YDR476C	60.8	34.18
YDR451C	10.45	7.84
YDR434W	89.23	57.27
YNR060W	6.43	5.42
YJR090C	61	44.46
YGL191W	15.08	23.17
YHR144c	3.53	5.34
YHR159W	7.89	4.65
YKL011C	2.29	2.88
YGR199W	59.44	44.47
YMR295C	60	50.97
YKR029C	2.96	4.88
YEL043w	36.94	39.83
YDR542W	15.68	13.26
YML092C	32.37	50.05
YMR294W	1.24	2.67
YNL048W	40.55	44.35
YNL068C	13.26	13.65
YHR080C	16.24	34.37
YGR235C	8.51	6.3
YAL037W	3.79	2.86
YGR010W	7.33	5.82
YJL009W	55.53	62.02
YFL042C	48.42	42.51
YLR269C	0.63	2.72
YLR426W	5.35	6.39
YMR320W	0.38	1.06
YNL330C	46.52	33.61
YBR137w	4.5	5.38
YDL218w	3.37	3.39
YDL233w	8.14	8.6
YDL070w	95.42	74.08
YDL077c	4.69	5.09
YGR230W	0.64	2
YER127w	6.47	8.76
YER168c	34.15	20.37
YHR028c	39.86	9.93
YLR285W	0.8	3.94
YIL143C	54.43	32.48
YMR315W	52.6	66.11
YCR009c	59.33	276.53
YDL150W	12.2	16.74
YDL227C	14.16	9.69
YDL117w	16.34	10.36
YDL140C	184	69.95
YHL031C	3.95	5.61
YBL041w	39.07	46.42
YGR111W	11.73	7.17
YJR034W	0.41	2.71
YGL228W	27.66	28.39
YLR322W	0.92	3.41
YML121W	9.43	7.48
YNL303W	1.61	1.4
YNL277W	8.64	8.29
YDL177c	0.49	0.88
YDL114w	0.46	0.77
YDL036c	14.44	11.6
YDR189W	61.54	65.78
YDR060w	23.35	12.51
YDR457W	119.4	77.06
YGR268C	16.36	7.29
YGL128C	1.88	3.51
YGL158W	0.54	0.66
YJR075W	59.65	68.48
YHR064C	254.44	99.31
YLR367W	8.41	8.77
YJL165C	20.98	15.22
YNL315C	63.61	48.84
YDR053w	1.73	5.72
YDL086w	50.38	63.6
YDL066W	395.93	328.42
YDR037W	803.64	880.39
YDR096W	10.96	7.53
YDR283C	16.39	8.06
YHR044c	10.81	7.02
YBR256c	19.42	18.06
YGR187C	35.41	39.26
YJR071W	25.47	22.11
YGL125W	40.54	20.17
YLR365W	0.44	1.35
YML015C	1.66	4.21
YNL259C	2.22	1.92
YNL237W	6.94	4.73
YDL008w	3.02	4.71
YDR058c	2.53	1.01
YDR190C	54.17	72.82
YDR362C	14.34	9.42
YDR430C	7.92	6.16
YGR271W	26.35	17.03
YHL046C	17.86	8.69
YGR028W	7.04	5.7
YGR059W	0.82	0.56
YJR124C	49.97	27.93
YHR103w	20.62	11.03
YLR441C	13.48	15.62
YJL062W	55.56	24.78
YNL274C	14.22	10.06
YDR209C	6.53	13.4
YDR099W	349.68	324.73
YDR055w	57.14	55.56
YDR292C	61.42	62.25
YDR356W	0.85	1.7
YEL022w	1.9	2.61
YHR140W	1.68	1.24
YEL038w	28.55	29.61
YHL022c	3.43	1.82
YJR146W	19.16	13.05
YGL003C	12.55	9.43
YLR428C	0.46	1.53
YMR099C	36.38	35.9
YNL185C	4.08	5.81
YNL181W	42.38	27.89
YDR163W	2.98	1.66
YDR233C	854	784.43
YDR316W	4.27	7.14
YDR425W	9.37	9.25
YJR035W	2.51	4.04
YKL203C	1.74	2.84
YHL006C	2.01	2.29
YGR101W	25.34	14
YGR227W	52.69	20.7
YKL090W	4.5	5.38
YHR150W	9.29	6.14
YMR038C	4.35	4.44
YJR061W	11.37	4.29
YNL215W	4.22	4.87
YDR433W	304.42	195.4
YDR287W	5.07	4.99
YDR277C	5.67	3.17
YEL013w	220.36	173.95
YJR089W	2.16	3.3
YFL007W	586.99	156.8
YHR157w	1.17	0.94
YER079w	458.19	492.58
YHR068W	169.11	161.8
YKL066W	9.52	4.16
YGR092W	15.66	22.26
YML089C	0.5	1.55
YMR228W	4.04	4.57
YNL149C	11.16	16.07
YNL137C	81.82	74.25
YDR339C	7.57	9.63
YDR374C	1.26	1.41
YDR514C	6.62	7.68
YEL023c	6.03	4.27
YKL057C	56.83	16.3
YLR433C	34.93	30.5
YHR079C-A	1.86	2.72
YEL073c	1.77	1.35
YGR283C	8.65	6.96
YHR016c	13.6	7.88
YKL047W	19.24	13.95
YHR188C	109.08	86.54
YMR156C	8.82	13.43
YKL073W	78.94	72.23
YNL160W	64.72	7.11
YDR513W	5.79	6.49
YDR450W	1052.13	1037.5
YDR432W	1.47	3.46
YNL225C	2.12	3.08
YLR442C	6.17	6.78
YHL030W	245.28	196.58
YHR191C	1.12	1.57
YER163c	5.8	8.19
YHR176W	1.74	0.91
YKL031W	2.66	1.63
YGR216C	28.45	9.37
YMR123W	4.93	4.99
YMR303C	3860.04	1340.91
YNL131W	85.37	104.87
YNL083W	12.21	6.66
YDR441C	83.98	59.86
YHL011c	107.64	116.74
YNL176C	62.97	49.87
YLR071c	9.76	6.97
YOL081W	79.66	50.42
YHR105W	2.5	2.8
YEL044w	3.87	5.79
YHR083W	22.4	16.53
YHR151C	35.66	29.41
YKL008C	127.63	57.12
YHR219W	1215.47	418.48
YKR089C	32.68	35.36
YNL072W	3.37	2.06
YOL134C	1.26	7.3
YOL127W	260.26	535.97
YGR252W	13.98	19.49
YNL061W	126.67	279.52
YMR205C	439.98	592.14
YGR018C	5.37	6.61
YER141w	85.39	42.02
YFR052W	10.91	14.45
YGL215W	416.94	273.18
YJR012C	4.6	4
YER080w	20.7	19.26
YMR116C	2257.33	902.45
YIL155C	14.02	9.32
YMR312W	8.86	8.12
YBL001c	2.36	5.13
YBR278w	0.58	1.77
YDL243c	64.28	19.95
YDL207w	8.38	11.45
YDL206w	7.3	6.23
YJR109C	299.98	191.29
YFR001W	2.71	4.05
YBR077c	6.24	7.3
YGL254W	6.95	7.88
YGL256W	70.74	55.66
YJR094C	1.11	3.66
YER171w	36.89	18.44
YKL221W	0.84	5.78
YIR007W	7.39	5.4
YBL106c	17.18	10.26
YCR082w	9.03	12.65
YDL139c	0.5	0.89
YDL211c	4.1	3.27
YDL106C	12.46	15.78
YDL060w	59.7	35.27
YJL197w	23.87	11.96
YGR038W	43.96	30.38
YER175c	9.35	6.68
YGL057C	11.15	9.35
YGL130W	12.45	13.06
YJR056C	1.5	4.74
YFR009W	28.29	11.92
YKL113C	28.78	10.1
YJL106W	1.02	2.66
YNL310C	1.79	3.25
YDL184C	58.7	71.95
YDL125c	47.4	58.09
YDL100c	79.04	107.07
YDL146w	16.35	12.3
YDL093W	37.26	10.77
YLR032w	9.27	5.24
YFR035C	5.02	8.75
YBR134w	17.33	7.8
YGL103W	656.16	650.41
YGL104C	18.83	7.91
YJR116W	17.33	12.13
YFR002W	60.51	53.8
YKL145W	78.82	96.92
YJL082W	46.72	28.9
YDL071c	7.88	6.69
YDL018c	6.25	4.1
YDL022w	78.3	218.29
YDR117C	16.58	26.4
YDR207C	14.26	9.56
YKL215C	6.09	5.54
YGR069W	1.26	2.81
YFL062W	338.99	170.64
YGR066C	0.69	0.96
YGR156W	8.07	8.91
YJR104C	84.19	122.16
YGL205W	2.95	2.84
YKR092C	417.61	318.09
YJL012C	987.68	552.76
YNL228W	2.6	4.24
YDL032w	1.31	3.38
YDR013w	7.05	3.88
YDR047W	81.61	62.83
YDR030c	0.47	1.1
YDR164C	24.69	19.96
YML117W	23.55	21.78
YGL262W	0.88	1.56
YBR188c	4.1	2.2
YGR062C	9.01	5.76
YGR004W	11.99	9.97
YJR150C	0.67	0.84
YGL180W	7.78	5.55
YKR042W	977.19	564.37
YJR106W	30.84	11.8
YBR112c	252.28	143.63
YDR031w	0.52	0.87
YDR162C	4.34	4.29
YDR113C	4	2.01
YDR343C	693.19	89.46
YDR385W	3624.33	1075.58
YLR419W	5.54	4.98
YGR102C	1.21	1.63
YFL030W	5.3	3.03
YGR222W	6.06	5.01
YGR263C	10.32	5.74
YKL099C	6.15	6.76
YGL099W	13.67	9.43
YLR070c	2.99	1.43
YKL212W	262.61	229.35
YNL200C	4	3.82
YDR048C	1.77	1.87
YDR078c	2.1	1.82
YDR202C	1.58	2.45
YDR147W	11.26	13.39
YDR332W	5.45	4.95
YNL106C	4.05	13.63
YGL235W	4.95	5.76
YBR232c	3.28	4.76
YGR282C	1005.15	499.56
YGR211W	180.49	170.06
YKL095W	2.91	4.8
YGL036W	14.64	12.01
YLR005w	12.52	10.1
YKL168C	9.1	6.53
YCR067c	6.64	4.82
YDR215C	2.85	2.76
YDR367W	40.91	30.16
YDR268W	9.34	7.59
YDR536W	0.8	1.01
YMR309C	543.03	266.22
YMR128W	11.32	5.67
YGR137W	12.9	22.57
YFR005C	44.89	32.7
YHR014w	2.39	2.4
YHR033W	26.01	12.2
YKL063C	3.05	4.35
YGR003W	6.82	5.75
YLR158C	152.66	151.29
YKL079W	6.26	7.39
YNL159C	12.74	14.01
YDR210W	5.94	10.39
YDR298C	113.88	114.79
YDR322W	6.64	7.54
YDR323C	2.04	2.64
YNL258C	23.65	20.86
YOR151C	156.19	82.61
YGL214W	16.4	12.32
YBR269c	3.19	4.54
YHR061C	16.01	7.92
YHR018c	184.55	274.28
YKL051W	20.3	11.24
YGR130C	17.36	25.69
YLR113w	179.33	145.83
YKL054C	56.22	84.44
YIL099W	0.79	0.75
YDR382W	581.04	687.06
YDR471W	421.85	433.23
YDR427W	55.91	55.9
YNL219C	137.92	112.9
YNL216W	11.82	9.48
YNL250W	2.27	3.85
YGR176W	10.61	10.46
YFR032C	8.06	0.51
YHR185C	0.71	2.01
YHR174w	6450.97	3134.67
YKL013C	21.18	27.3
YGR186W	22.8	16.56
YLR225C	18.66	14.19
YKR036C	9.87	9.45
YNL108C	10.67	11.89
YDR340W	61.59	11.42
YDR478W	5.08	3.55
YDR531W	37.55	37.76
YDR470C	21.61	14.58
YOL141W	10.77	6.04
YPL012W	61.55	22.8
YGL189C	264.83	372.58
YML124C	117.01	97.01
YHR187W	6.83	6.12
YHR168W	24.88	23.08
YKL007W	12.72	13.71
YGR200C	116.45	95.29
YLR212C	29	10.1
YKR067W	23.29	14.92
YEL032w	43.82	43.89
YIL100W	0.38	1.22
YOL154W	1.55	4.11
YNL316C	3.99	7.45
YNR023W	2.46	5.98
YNL041C	7.95	9.7
YIL015C-A	0.38	2.62
YGR247W	0.77	1.66
YAL007C	49.93	35
YGR012W	3.3	4.19
YJL007C	0.38	1.38
YFL041W	20.88	16.73
YLR280C	0.38	2.42
YIL172C	9.22	4.71
YMR321C	56.43	53.44
YNL323W	57.81	43.26
YCR087w	0.39	3.32
YDL205C	25.85	12.95
YDL216c	2.27	3.91
YDR014w	6.95	4.92
YHR143W-A	1.93	5.58
YPL283C	220.16	45.75
YGR236C	0.51	0.87
YCR060w	0.72	4.17
YFR046C	0.52	1
YFL040W	2.15	1.4
YJR032W	10.1	13.15
YHR031C	6.11	4.95
YIR031C	14.35	8.61
YIL140W	72.15	7.8
YMR316W	4.05	2.98
YDL201w	20.56	31.96
YDL147w	45.36	67.32
YDL174C	55.58	41.43
YDL073w	5.39	4.82
YJR029W	6280.66	2865.56
YHR008c	20.34	26.09
YBR035c	22.73	20.64
YGR112W	6.64	5.02
YJR037W	0.46	1.91
YGL192W	22.03	18.22
YLR325C	59.28	13.93
YJL201W	32.02	15.85
YNL300W	44.55	3.7
YNL261W	26.98	13.17
YDL172c	6.91	8.26
YDL082w	1036.71	1089.54
YDL024c	0.9	1.17
YDR194C	96.71	97.95
YDR080w	0.38	1.86
YML095C-a	0.59	3.51
YGR272C	1.41	3.07
YCR071c	0.77	2.47
YGL100W	29.12	20.27
YGL122C	69.51	119.21
YJR076C	44.77	50.89
YHR074W	41.49	19.52
YKL211C	108.99	145.08
YJL157C	80.63	402.49
YNL312W	24.42	7.96
YDR063w	3.71	4.37
YDL083C	847.28	871.65
YDL033c	8.18	7.87
YDR046C	312.93	187.12
YDR103W	13.93	9.42
YLL048c	44.15	30.79
YHR049W	43.86	76.9
YBR261c	8.44	13.02
YGR214W	1959.41	1311.5
YJR082C	1.43	2.95
YGL116W	8.9	15.33
YLR366W	0.48	1.76
YJL069C	45.67	49.61
YNL255C	87.7	144.43
YNL234W	6.14	4.31
YDL004W	45.95	45.46
YDR068W	2.38	3.58
YDR198C	11.65	15.91
YDR365C	31.88	42.21
YDR495C	3.73	4.15
YML025C	5.55	8.33
YHL045W	1.18	0.91
YGR031W	39.03	15.04
YGR093W	10.2	9.98
YJR125C	22.26	26.72
YHR108W	106.65	73.32
YKL089W	4.94	3.5
YJL056C	6.83	4.99
YNL265C	12.29	10.86
YDR224C	108.5	37.14
YDR106W	0.41	0.53
YDR153C	9.76	13.19
YDR294C	71.84	66.03
YDR359C	13.22	8.52
YLR342W	50.36	14.6
YHR141c	364.91	442.06
YER002w	7.43	7.28
YHL020c	22.47	15.43
YJR157W	1.71	1.04
YGR013W	6.26	5.96
YLR444C	0.52	1.71
YJR064W	270.8	268.91
YNL184C	1.96	3.22
YNL175C	30.68	48.21
YDR178W	69	58.83
YDR280W	22.69	27.23
YDR346C	271.07	247.66
YDR452W	57.48	27.04
YJR091C	6.17	6.43
YMR079W	504.46	403.27
YHL005C	12.21	8.46
YCR099c	3.48	3.66
YGR113W	5.46	4.8
YGR229C	73.7	79.47
YKL082C	9.09	13.07
YHR161C	5.39	5.35
YLL036c	13.94	15.31
YJR126C	31.59	16.56
YNL194C	0.97	0.49
YDR437W	2.54	2.22
YDR313C	23.44	15
YDR282C	6.22	5.44
YGR068C	17.96	26.32
YKL068W	24.87	14.03
YMR306W	59.13	22.43
YHR162W	53.44	62.34
YER094c	28.79	29.6
YHR075C	6.44	1.73
YKL061W	4.14	2
YGR103W	166.81	136.93
YML084W	0.39	1.5
YKL100C	84.13	60.68
YNL147W	1.68	4.16
YNL136W	8.57	5.72
YDR373W	10.68	17.7
YDR446W	0.39	0.76
YDR515W	3.85	5.11
YHR218W	389.91	63.25
YKL033W	7.77	6
YMR172C-a	0.52	2.63
YHR081W	1.66	2.3
YEL068c	0.8	1.53
YHL025w	9.3	6.39
YHR048W	11.81	6.08
YKL046C	115.36	71.04
YHR194W	10.6	9
YLR054c	0.5	0.73
YKL050C	12.07	5.97
YNL141W	111.46	146.95
YDR519W	34.21	34.36
YDR472W	16.95	14.11
YDR448W	5.74	6.17
YNL218W	13.55	11.43
YML109W	6.21	5.62
YOR093C	29.5	42.24
YHR193c	67.17	136.52
YER170w	60.83	37.69
YHR179w	288.67	190.23
YKL006C-A	8.39	6.7
YGR221C	7.29	2.54
YMR141C	3.36	2.42
YKR072C	63.05	38.75
YNL122C	0.86	0.92
YNL078W	33.26	68.77
YDR454C	58.07	77.81
YKL183W	7.41	6.82
YOL030W	300.58	182.57
YNL167C	51.61	35.2
YLR187W	22.59	10.39
YMR290W-a	58.66	55.02
YHR110W	6.51	5.2
YEL039c	0.78	1.38
YHR101C	6.23	4.48
YHR170w	251.83	228.68
YKL004W	254.41	150.64
YML056C	93.57	69.35
YLR227C	18.62	10.07
YKR099w	21.02	22.5
YNL069C	1979.2	2032.44
YOL108C	0.38	1.39
YOL093W	3.96	7.45
YNR066C	10.26	9.95
YNL039W	4.78	7.74
YMR266W	41.34	74.42
YOR341W	212.07	205.79
YGR020C	7.3	10.47
YER142c	0.58	1.26
YGL240W	6.39	5.11
YGL208W	4.47	3.52
YJR014W	16.94	20.77
YMR033W	17.59	9.37
YKL219W	62.31	14.71
YIR003W	7.41	10.44
YMR314W	30.48	35.13
YBR209w	0.38	0.9
YDL217c	32.34	29.95
YDL230W	1.34	3.2
YDL197C	4.76	4.79
YOL095C	8.2	16.42
YJR151C	19.21	18.31
YFR003C	183.14	128.4
YBR089w	22.26	5.15
YGL232W	4.97	7.67
YGL253W	2136.15	1606.05
YJR095W	0.5	1.06
YKL214C	3.19	6.68
YKL195W	9.22	15.06
YJL206C	11.43	6.81
YBL104c	22.94	16.25
YCR083w	0.54	2.8
YDL136w	158.29	299.79
YDL204w	3.92	4.61
YDL085w	0.43	0.82
YNR033W	51.36	31.78
YJL129C	47.62	25.14
YGR039W	1.07	2.27
YER177w	442.34	458.73
YGL050W	14.91	21.43
YGL090W	4.02	4.87
YJR057W	3.64	4.79
YKL122C	0.81	3.77
YKR011C	4.72	5.82
YJL103C	5.78	6.3
YNL306W	111.11	89.87
YDL181W	4.17	6.42
YDL098c	1.28	1.93
YDL099w	2.01	4.91
YDL143W	276.09	257.25
YOR019W	3.07	2.38
YLR084c	45.11	22.98
YFR036W	3.58	5.1
YBR135w	46.08	33.34
YGL081W	1.34	0.73
YGL097W	48.81	38.22
YJR129C	6.55	5.96
YKL144C	5.36	6.58
YKL143W	7.05	10.91
YJL073W	32.66	27.16
YBR038w	53.15	27.46
YDL068w	0.48	1.02
YDL010w	3.7	3.85
YDR018c	1.03	0.83
YDR120C	56.04	82.6
YOR140W	56.61	49.94
YKL209C	82.45	117.08
YGR074W	8.81	12.36
YFL059W	5.29	2.13
YGR120C	15.15	19.45
YGR193C	14.9	19.36
YJR112W	1.14	2.39
YKR091W	1.98	5.38
YLL057c	2.97	2.64
YJL010C	60.73	85.27
YNL214W	1.87	2.24
YDL026w	5.98	5.11
YDR022c	0.53	0.65
YDR051c	6.94	8.38
YDR036c	27.79	27.08
YOR156C	7.56	5.91
YML104C	23.08	12.54
YGL261C	24.82	9.57
YBR190w	4.69	3.71
YGR096W	8.02	5.28
YGR019W	15.69	7.7
YJR153W	4.96	30.13
YKR057W	113.59	39.19
YKR044W	18.69	13.94
YJR119C	9.96	4.91
YBR150c	1.04	1.94
YDR045C	1.19	2.97
YDR174W	80.44	132.77
YDR142C	15.21	8.9
YDR345C	1598.94	482.04
YOR217W	17.44	12.5
YLR425W	5.5	4.44
YGR105W	3.58	3
YFL029C	8.14	5.79
YDL045C	8.53	8.15
YGR285C	507.83	535.11
YKL096W	118.5	98.82
YLR008c	5.64	4.68
YLR082c	4.06	4.78
YKL204W	33.87	51.07
YNL196C	1.75	0.57
YDR070c	0.56	0.76
YDR084c	29.47	11.39
YDR204W	6.06	5.57
YDR168W	21.23	33.94
YOR337W	22.99	17.35
YNL087W	62.38	43.43
YGL231C	6.77	9.03
YBR244w	1.87	2.95
YGR284C	231.59	163.01
